int_rate,loan_amnt,term,grade,home_ownership,annual_inc,purpose
10.65,5000,36,B,RENT,24000,credit_card
15.27,2500,60,C,RENT,30000,car
15.96,2400,36,C,RENT,12252,small_business
13.49,10000,36,C,RENT,49200,other
12.69,3000,60,B,RENT,80000,other
7.90,5000,36,A,RENT,36000,wedding
15.96,7000,60,C,RENT,47004,debt_consolidation
18.64,3000,36,E,RENT,48000,car
21.28,5600,60,F,OWN,40000,small_business
12.69,5375,60,B,RENT,15000,other
14.65,6500,60,C,OWN,72000,debt_consolidation
12.69,12000,36,B,OWN,75000,debt_consolidation
13.49,9000,36,C,RENT,30000,debt_consolidation
9.91,3000,36,B,RENT,15000,credit_card
10.65,10000,36,B,RENT,100000,other
16.29,1000,36,D,RENT,28000,debt_consolidation
15.27,10000,36,C,RENT,42000,home_improvement
6.03,3600,36,A,MORTGAGE,110000,major_purchase
11.71,6000,36,B,MORTGAGE,84000,medical
6.03,9200,36,A,RENT,77385.19,debt_consolidation
15.27,20250,60,C,RENT,43370,debt_consolidation
12.42,21000,36,B,RENT,105000,debt_consolidation
11.71,10000,36,B,OWN,50000,credit_card
11.71,10000,36,B,RENT,50000,debt_consolidation
11.71,6000,36,B,RENT,76000,major_purchase
9.91,15000,36,B,MORTGAGE,92000,credit_card
14.27,15000,36,C,RENT,60000,debt_consolidation
16.77,5000,60,D,RENT,50004,other
11.71,4000,36,B,MORTGAGE,106000,debt_consolidation
11.71,8500,36,B,RENT,25000,credit_card
7.51,4375,36,A,MORTGAGE,17108,debt_consolidation
7.90,31825,36,A,MORTGAGE,75000,debt_consolidation
15.96,10000,60,C,RENT,29120,debt_consolidation
8.90,5000,36,A,RENT,24044,debt_consolidation
15.96,7000,36,C,RENT,34000,credit_card
10.65,12400,36,B,RENT,41000,credit_card
9.91,10800,36,B,RENT,55596,moving
7.90,15000,36,A,RENT,45000,debt_consolidation
12.42,6000,36,B,RENT,36852,debt_consolidation
12.69,12500,60,B,RENT,27000,debt_consolidation
7.51,9600,36,A,RENT,68004,other
7.90,12000,36,A,RENT,62300,debt_consolidation
18.25,3000,36,D,MORTGAGE,65000,other
16.77,4400,36,D,RENT,55000,debt_consolidation
6.03,6000,36,A,MORTGAGE,45600,debt_consolidation
9.91,14000,36,B,RENT,80000,small_business
8.90,5000,36,A,MORTGAGE,100000,debt_consolidation
10.65,10000,36,B,RENT,27000,other
6.03,10000,36,A,RENT,60000,credit_card
6.62,11000,36,A,RENT,70000,debt_consolidation
9.91,15000,36,B,MORTGAGE,80000,debt_consolidation
9.91,25600,36,B,RENT,110000,credit_card
10.65,7000,36,B,RENT,40000,debt_consolidation
15.96,12000,36,C,RENT,50000,car
9.91,12000,36,B,RENT,46000,credit_card
19.91,21000,60,E,RENT,50000,debt_consolidation
19.91,16000,60,E,RENT,81000,credit_card
12.42,10000,36,B,OWN,39000,debt_consolidation
10.65,10000,36,B,RENT,51400,credit_card
16.77,7100,36,D,MORTGAGE,33000,debt_consolidation
12.69,13000,60,B,MORTGAGE,30000,debt_consolidation
17.27,17500,60,D,RENT,40000,small_business
14.65,17675,60,C,RENT,50000,debt_consolidation
16.77,8000,36,D,RENT,62000,debt_consolidation
10.65,10000,60,B,RENT,45996,debt_consolidation
10.65,3500,36,B,MORTGAGE,55000,debt_consolidation
17.27,12500,60,D,RENT,30000,debt_consolidation
14.27,16425,36,C,RENT,44544,debt_consolidation
21.28,8200,60,F,RENT,75000,small_business
14.65,15000,36,C,OWN,61000,credit_card
17.58,20975,60,D,MORTGAGE,44000,credit_card
16.77,6400,36,D,RENT,75000,debt_consolidation
13.49,3000,36,C,RENT,33600,debt_consolidation
16.77,12000,36,D,RENT,50000,credit_card
8.90,14400,36,A,OWN,150000,debt_consolidation
14.65,12000,36,C,RENT,90000,debt_consolidation
13.49,11000,36,C,MORTGAGE,48000,debt_consolidation
21.67,7250,60,F,RENT,75000,debt_consolidation
7.90,15000,36,A,MORTGAGE,52000,small_business
19.91,18000,60,E,MORTGAGE,65000,debt_consolidation
17.27,35000,60,D,MORTGAGE,150000,home_improvement
14.27,10000,36,C,RENT,68000,credit_card
12.69,11800,36,B,RENT,42000,credit_card
6.03,4500,36,A,RENT,53000,major_purchase
12.69,7000,36,B,RENT,35000,credit_card
12.42,9200,36,B,RENT,60000,debt_consolidation
17.27,14000,60,D,RENT,28000,other
10.65,4500,60,B,MORTGAGE,42000,car
